Jordan 3 Retro Crimson,136064-005,$160,2013-02-23,Black/Bright Crimson,$162 - $216
Jordan 1 Retro Black Toe 2013 (GS),575441-184,White/Black-Gym,Red,--,$117 - $143
Jordan 3 Retro White Flip,315767-101,$150,2007-03-24,White/Chrome-Black,$189 - $211
Jordan 7 Retro Premio Bin 23,436206-101,$175,2010-11-26,White/Del Sol-Black-Challenge Red,"$947 - $1,553"
Jordan 3 Retro Purple Dust (GS),441140-506,$140,2016-10-29,Purple Dust/Atomic Pink-Blue Cap,$32 - $58
Jordan XXX1 Banned,845037-001,$185,2016-09-03,Black/White/University Red,$95 - $157
Jordan 18 OG Low Black Silver Chrome,306151-001,$150,2003-05-31,Black/Metallic Silver-Chrome,$69 - $181
Jordan 15 Retro Stealth (2017),881429-001,$190,2017-01-07,Black/Varsity Red-Anthracite,$87 - $163
Jordan 2 Retro Infrared Cement,385475-023,$160,2014-04-12,Black/Infrared 23-Pure Platinum-White,$54 - $156
Jordan 1 Retro White Vachetta Tan,845018-142,$160,2016-07-09,White/Vachetta Tan-White,$133 - $217
Jordan 16 OG Ginger,136080-701,$160,2001-11-24,Light Ginger/Dark Charcoal-White,$233 - $363
Jordan 4 Retro Obsidian,819139-402,$400,2016-09-17,Obsidian/Obsidian-White,$420 - $580
Jordan 14 Retro Oxidized Green (2016),487471-106,$190,2016-07-16,White/Oxidized Green-Legend Blue-Black,$154 - $196
Jordan 1 Retro Gold Medal,332550-406,$140,2016-08-01,Deep Royal Blue/Metallic Gold Coin-White,$54 - $106
Jordan 11 Retro Low Infrared,528895-023,$150,2014-06-14,Black/Infrared 23-Pure Platinum,$205 - $335
Jordan 4 Retro Denim (GS),487724-408,$140,2016-01-16,Dark Obsidian/Vivid Pink-White-Metallic Gold,$28 - $72
Jordan 3 Retro Black Flip,315767-001,$175,2011-12-03,Black/Metallic Silver,$176 - $284
Jordan 5 Retro Low Neymar,846315-025,$200,2016-06-03,Reflective Silver/Infrared 23-Black,$113 - $197
Jordan 3 Retro True Blue (2009),136064-141,$125,2009-08-08,White/Cement Grey-True Blue,$126 - $194
Jordan Melo M11 Hebru,814286-050,Black/Reflective,Silver,--,$10 - $200
Jordan Shine Black,689480-010,$400,2014-07-26,Black/Black,-- - $267
Jordan 1 Retro Mid New Love 2017 (GS),554725-035,$85,2017-06-01,Black/Varsity Maize-White,$180 - $250
Jordan 13 Retro Low Quai 54,810551-050,$250,2015-06-13,Black/Dark Grey-White-Chrome,$320 - $530
Jordan 1 Retro Metallic Navy (2016),555088-106,$160,2016-06-04,White/Metallic Navy,$68 - $122
Jordan Spiz'ike OG (2014),315371-125,$175,2014-08-09,White/Varsity Red-Cement Grey,$196 - $290
Jordan 1 Retro Mid Black Red White,554724-028,$110,2015-09-16,Black/White/Gym Red/Black,$75 - $105
Air Jordan Spizike Black Varsity Red,315371-061,$175,2007-01-27,White/Varsity Red-Classic Green,$161 - $221
Jordan 7 Retro Doernbecher (GS),898650-015,$140,2016-12-17,Black/University Red,$107 - $189
Jordan 4 Retro Eminem Carhartt,136863,$0,2015-11-23,Retro Black/Metallic Silver,"$7,800 - $18,200"
Jordan 3 Retro Stealth,136064-003,$150,2011-09-03,Stealth/Varsity Red-Light Graphite-Black,$270 - $330
Jordan 5 Retro Green Bean,136027-031,$135,2006-09-23,Silver-Green Bean-Flint Grey 3M,$139 - $273
Jordan 6 Retro Purple Dynasty (GS),543390-509,$140,2016-12-30,Purple Dynasty/White,$34 - $118
Jordan 14 Retro Black Toe (2006),311832-162,$150,2006-04-18,White/Black-Varsity Red-Metallic Silver,$237 - $353
Jordan 4 Retro Columbia 2015 (GS),408452-107,$140,2015-01-10,White/Legend Blue-Midnight Navy,$79 - $121
Jordan 1 Retro High OG Quai 54,AH1040-054,$160,2017-07-08,Black/Italy Blue-University Red,$191 - $207
Jordan 8 Retro Alternate,305381-104,$190,2017-02-25,White/Gym Red-Black-Wolf Grey,$140 - $206
