Jordan 3 Retro Crimson,329,-12.5%,$228,136064-005,$160,2013-02-23,Black/Bright Crimson,$112 - $168
Jordan 1 Retro Black Toe 2013 (GS),1,--,$130,575441-184,White/Black-Gym,Red,--,$117 - $143
Jordan 3 Retro White Flip,43,46.0%,$253,315767-101,$150,2007-03-24,White/Chrome-Black,$206 - $232
Jordan 7 Retro Premio Bin 23,26,614.3%,$1243,436206-101,$175,2010-11-26,White/Del Sol-Black-Challenge Red,"$947 - $1,553"
Jordan 3 Retro Purple Dust (GS),6,-67.9%,$58,441140-506,$140,2016-10-29,Purple Dust/Atomic Pink-Blue Cap,$32 - $58
Jordan XXX1 Banned,140,-31.9%,$163,845037-001,$185,2016-09-03,Black/White/University Red,$95 - $157
Jordan 18 OG Low Black Silver Chrome,7,-16.7%,$183,306151-001,$150,2003-05-31,Black/Metallic Silver-Chrome,$69 - $181
Jordan 15 Retro Stealth (2017),442,-34.2%,$179,881429-001,$190,2017-01-07,Black/Varsity Red-Anthracite,$87 - $163
Jordan 6 Retro Infrared Black (2014),1962,83.8%,$357,384664-023,$185,2014-11-28,Black/Infrared23-Black,$246 - $434
Jordan 1 Retro White Vachetta Tan,17,9.4%,$127,845018-142,$160,2016-07-09,White/Vachetta Tan-White,$133 - $217
Jordan 16 OG Ginger,4,86.3%,$371,136080-701,$160,2001-11-24,Light Ginger/Dark Charcoal-White,$233 - $363
Jordan 4 Retro Obsidian,374,25.0%,$502,819139-402,$400,2016-09-17,Obsidian/Obsidian-White,$420 - $580
Jordan 14 Retro Oxidized Green (2016),397,-31.1%,$172,487471-106,$190,2016-07-16,White/Oxidized Green-Legend Blue-Black,$110 - $152
Jordan 1 Retro Gold Medal,138,-42.9%,$107,332550-406,$140,2016-08-01,Deep Royal Blue/Metallic Gold Coin-White,$54 - $106
Jordan 11 Retro Low Infrared,528,80.0%,$324,528895-023,$150,2014-06-14,Black/Infrared 23-Pure Platinum,$205 - $335
Jordan 4 Retro Denim (GS),7,-64.3%,$65,487724-408,$140,2016-01-16,Dark Obsidian/Vivid Pink-White-Metallic Gold,$28 - $72
Jordan 3 Retro Black Flip,78,31.4%,$286,315767-001,$175,2011-12-03,Black/Metallic Silver,$176 - $284
Jordan 5 Retro Low Neymar,619,-2.0%,$252,846315-025,$200,2016-06-03,Reflective Silver/Infrared 23-Black,$156 - $236
Jordan 3 Retro True Blue (2009),8,28.0%,$181,136064-141,$125,2009-08-08,White/Cement Grey-True Blue,$124 - $196
Jordan Melo M11 Hebru,15,--,$257,814286-050,Black/Reflective,Silver,--,$10 - $200
Jordan Shine Black,5,-78.3%,$209,689480-010,$400,2014-07-26,Black/Black,-- - $267
Jordan 1 Retro Mid New Love 2017 (GS),41,47.1%,$111,554725-035,$85,2017-06-01,Black/Varsity Maize-White,$90 - $160
Jordan 13 Retro Low Quai 54,57,70.0%,$334,810551-050,$250,2015-06-13,Black/Dark Grey-White-Chrome,$320 - $530
Jordan 1 Retro Metallic Navy (2016),767,-37.5%,$135,555088-106,$160,2016-06-04,White/Metallic Navy,$70 - $130
Jordan Spiz'ike OG (2014),72,38.9%,$211,315371-125,$175,2014-08-09,White/Varsity Red-Cement Grey,$196 - $290
Jordan 1 Retro Mid Black Red White,67,-18.2%,$93,554724-028,$110,2015-09-16,Black/White/Gym Red/Black,$75 - $105
Air Jordan Spizike Black Varsity Red,9,9.1%,$204,315371-061,$175,2007-01-27,White/Varsity Red-Classic Green,$161 - $221
Jordan 7 Retro Doernbecher (GS),18,5.7%,$200,898650-015,$140,2016-12-17,Black/University Red,$107 - $189
Jordan 1 Retro Mid White Cool Grey,9,--,$109,554724-102,White/Cool,Grey-White,--,$98 - $120
Jordan 3 Retro Stealth,117,66.7%,$225,136064-003,$150,2011-09-03,Stealth/Varsity Red-Light Graphite-Black,$221 - $279
Jordan 5 Retro Green Bean,56,177.8%,$300,136027-031,$135,2006-09-23,Silver-Green Bean-Flint Grey 3M,$306 - $444
Jordan 1 Retro Mid UNC,85,--,$174,554724-106,White/University,Blue-White,--,$156 - $191
Jordan 14 Retro Black Toe (2006),12,96.7%,$262,311832-162,$150,2006-04-18,White/Black-Varsity Red-Metallic Silver,$237 - $353
Jordan 4 Retro Columbia 2015 (GS),14,-28.6%,$100,408452-107,$140,2015-01-10,White/Legend Blue-Midnight Navy,$79 - $121
Jordan 1 Retro High OG Quai 54,386,21.9%,$223,AH1040-054,$160,2017-07-08,Black/Italy Blue-University Red,$187 - $203
Jordan 4 Retro Cavs,163,46.9%,$325,308497-027,$160,2012-05-12,Black/Safety Orange-Game Royal,$188 - $282
Jordan 4 Retro Kaws,797,251.4%,$1471,930155-003,$350,2017-03-31,Cool Grey/White,"$1,157 - $1,303"
Jordan 9 Retro Statue,411,-6.3%,$207,302370-109,$190,2015-08-22,White/Black-Militia Green,$155 - $201
Jordan 13 Retro He Got Game (2013),166,72.4%,$328,309259-104,$170,2013-03-16,White/True Red-Black,$226 - $360
Jordan XXX1 Low Quai 54,16,-3.1%,$178,921195-154,$160,2017-07-15,White/White-Black-University Red-Italy Blue,$131 - $179
Jordan 5 Retro Hot Lava (GS),23,28.6%,$185,440892-018,$140,2015-05-09,Wolf Grey/Black-Hot Lava-White,$148 - $212
Jordan 1 Retro Shadow (2013),186,171.4%,$497,555088-014,$140,2013-07-13,Black/Soft Grey,$276 - $484
Jordan 11 Retro Low Columbia Blue (2001),5,465.2%,$476,136053-141,$115,2001-04-14,White/Columbia Blue,$530 - $770
Jordan 2 Retro Infrared Cement,173,-34.4%,$194,385475-023,$160,2014-04-12,Black/Infrared 23-Pure Platinum-White,$54 - $156
Jordan 12 Retro University Blue (GS) (2016),32,13.6%,$177,510815-127,$140,2016-05-21,White/Metallic Gold-University Blue,$120 - $198
Jordan 13 Retro Low Bred,339,0.6%,$221,310810-027,$160,2015-06-13,Black/Metallic Gold-University Red-White,$93 - $229
Jordan 5 Retro Supreme Desert Camo,655,132.3%,$515,824371-201,$198,2015-10-16,Desert Camo/Fire Red-Black,$361 - $559
Jordan 1 Retro Mid Obsidian White,9,-18.2%,$84,554724-402,$110,2017-07-01,Obsidian/White-White,$70 - $110
Jordan 8 Retro Black Toes,33,10.0%,$233,317258-104,$150,2007-11-17,White/Anthracite-Dark Orange,$128 - $202
Jordan 5 Retro Olympic 2016 (GS),4,-28.6%,$140,440888-133,$140,2016-08-20,White/Black-Metallic Gold Coin,$62 - $138
Jordan 1 Retro High Camo 3M Wolf Grey,32,-37.9%,$122,AA3393-027,$145,2017-08-01,Wolf Grey/Dark Grey-White-University Red,$74 - $106
Jordan 18.5 OG White Black Chrome,10,5.7%,$224,306890-101,$175,2003-11-15,White/Black - Chrome,$135 - $235
Jordan 23 Trophy Room White,33,118.2%,$891,853336-123,$275,2016-05-23,White/Metallic Gold-Black-White,$306 - $894
Jordan 12 Retro Deep Royal Blue (GS),14,14.3%,$152,153265-400,$140,2016-11-12,Deep Royal Blue/White-Metallic Silver,$135 - $185
Jordan 1 Retro XQ (2013),4,385.7%,$845,555088-040,$140,2013-07-26,Black/Gold Dust-Sport Red-White,$561 - $799
Jordan 11 Retro Low White Red (2012),264,78.6%,$314,528895-101,$140,2012-05-05,White/Varsity Red-Black,$185 - $315
Jordan 10 Retro Shanghai,51,36.3%,$245,310805-024,$190,2016-06-18,Black/Fierce Purple-Gamma Blue,$213 - $305
